File,WaveData20250407_004.csv,
Date/Time,25-04-07/21:26,

Trace,A
1553.740000,7.1220E-010
1553.760000,3.3370E-010
1553.780000,2.2880E-009
1553.800000,1.0330E-009
1553.820000,-5.1730E-010
1553.840000,-2.1070E-010
1553.860000,2.8740E-010
1553.880000,9.4370E-010
1553.900000,2.2710E-009
1553.920000,-1.7400E-010
1553.940000,1.0150E-009
1553.960000,2.2360E-009
1553.980000,-1.5970E-010
1554.000000,2.5680E-010
1554.020000,5.5860E-011
1554.040000,-5.6010E-010
1554.060000,-1.6430E-010
1554.080000,3.0310E-011
1554.100000,-1.7700E-010
1554.120000,7.5960E-010
1554.140000,1.7830E-009
1554.160000,1.6020E-009
1554.180000,-3.3980E-010
1554.200000,8.0110E-010
1554.220000,1.6790E-009
1554.240000,8.7930E-010
1554.260000,6.8620E-010
1554.280000,7.5440E-010
1554.300000,5.4220E-011
1554.320000,-7.7020E-010
1554.340000,5.9160E-010
1554.360000,1.8270E-009
1554.380000,1.3550E-010
1554.400000,1.8080E-009
1554.420000,1.6860E-009
1554.440000,1.0030E-009
1554.460000,5.4090E-010
1554.480000,-4.5470E-010
1554.500000,4.6270E-011
